id:ID,:Title,description,rule_id
APT29 2018 Phishing Campaign CommandLine Indicators,,Detects indicators of APT 29 (Cozy Bear) phishing-campaign as reported by mandiant,7453575c-a747-40b9-839b-125a0aae324b
APT29 2018 Phishing Campaign File Indicators,,Detects indicators of APT 29 (Cozy Bear) phishing-campaign as reported by mandiant,3a3f81ca-652c-482b-adeb-b1c804727f74
APT31 Judgement Panda Activity,,Detects APT31 Judgement Panda activity as described in the Crowdstrike 2019 Global Threat Report,03e2746e-2b31-42f1-ab7a-eb39365b2422
APT40 Dropbox Tool User Agent,,Detects suspicious user agent string of APT40 Dropbox tool,5ba715b6-71b7-44fd-8245-f66893e81b3d
AWL Bypass with Winrm.vbs and Malicious WsmPty.xsl/WsmTxt.xsl,,Detects execution of attacker-controlled WsmPty.xsl or WsmTxt.xsl via winrm.vbs and copied cscript.exe (can be renamed),074e0ded-6ced-4ebd-8b4d-53f55908119d
AWL Bypass with Winrm.vbs and Malicious WsmPty.xsl/WsmTxt.xsl - File,,Detects execution of attacker-controlled WsmPty.xsl or WsmTxt.xsl via winrm.vbs and copied cscript.exe (can be renamed),d353dac0-1b41-46c2-820c-d7d2561fc6ed
AWS CloudTrail Important Change,,"Detects disabling, deleting and updating of a Trail",4db60cc0-36fb-42b7-9b58-a5b53019fb74
AWS Config Disabling Channel/Recorder,,Detects AWS Config Service disabling,07330162-dba1-4746-8121-a9647d49d297
AWS Console GetSigninToken Potential Abuse,,"Detects potentially suspicious events involving ""GetSigninToken"".
An adversary using the ""aws_consoler"" tool can leverage this console API to create temporary federated credential that help obfuscate which AWS credential is compromised (the original access key) and enables the adversary to pivot from the AWS CLI to console sessions without the need for MFA using the new access key issued in this request.
",f8103686-e3e8-46f3-be72-65f7fcb4aa53
AWS EC2 Disable EBS Encryption,,"Identifies disabling of default Amazon Elastic Block Store (EBS) encryption in the current region.
Disabling default encryption does not change the encryption status of your existing volumes.
",16124c2d-e40b-4fcc-8f2c-5ab7870a2223
AWS EC2 Startup Shell Script Change,,Detects changes to the EC2 instance startup script. The shell script will be executed as root/SYSTEM every time the specific instances are booted up.,1ab3c5ed-5baf-417b-bb6b-78ca33f6c3df
AWS ECS Task Definition That Queries The Credential Endpoint,,"Detects when an Elastic Container Service (ECS) Task Definition includes a command to query the credential endpoint.
This can indicate a potential adversary adding a backdoor to establish persistence or escalate privileges.
",b94bf91e-c2bf-4047-9c43-c6810f43baad
AWS EFS Fileshare Modified or Deleted,,"Detects when a EFS Fileshare is modified or deleted.
You can't delete a file system that is in use.
If the file system has any mount targets, the adversary must first delete them, so deletion of a mount will occur before deletion of a fileshare.
",25cb1ba1-8a19-4a23-a198-d252664c8cef
AWS EFS Fileshare Mount Modified or Deleted,,"Detects when a EFS Fileshare Mount is modified or deleted. An adversary breaking any file system using the mount target that is being deleted, which might disrupt instances or applications using those mounts.",6a7ba45c-63d8-473e-9736-2eaabff79964
AWS GuardDuty Important Change,,"Detects updates of the GuardDuty list of trusted IPs, perhaps to disable security alerts against malicious IPs.",6e61ee20-ce00-4f8d-8aee-bedd8216f7e3
AWS IAM Backdoor Users Keys,,"Detects AWS API key creation for a user by another user.
Backdoored users can be used to obtain persistence in the AWS environment.
Also with this alert, you can detect a flow of AWS keys in your org.
",0a5177f4-6ca9-44c2-aacf-d3f3d8b6e4d2
AWS IAM S3Browser LoginProfile Creation,,Detects S3 Browser utility performing reconnaissance looking for existing IAM Users without a LoginProfile defined then (when found) creating a LoginProfile.,db014773-b1d3-46bd-ba26-133337c0ffee
AWS IAM S3Browser Templated S3 Bucket Policy Creation,,"Detects S3 browser utility creating Inline IAM policy containing default S3 bucket name placeholder value of ""<YOUR-BUCKET-NAME>"".",db014773-7375-4f4e-b83b-133337c0ffee
AWS IAM S3Browser User or AccessKey Creation,,Detects S3 Browser utility creating IAM User or AccessKey.,db014773-d9d9-4792-91e5-133337c0ffee
AWS Identity Center Identity Provider Change,,"Detects a change in the AWS Identity Center (FKA AWS SSO) identity provider.
A change in identity provider allows an attacker to establish persistent access or escalate privileges via user impersonation.
",d3adb3ef-b7e7-4003-9092-1924c797db35
AWS Key Pair Import Activity,,"Detects the import of SSH key pairs into AWS EC2, which may indicate an attacker attempting to gain unauthorized access to instances. This activity could lead to initial access, persistence, or privilege escalation, potentially compromising sensitive data and operations.
",92f84194-8d9a-4ee0-8699-c30bfac59780
AWS RDS Master Password Change,,Detects the change of database master password. It may be a part of data exfiltration.,8a63cdd4-6207-414a-85bc-7e032bd3c1a2
AWS Root Credentials,,Detects AWS root account usage,8ad1600d-e9dc-4251-b0ee-a65268f29add
AWS S3 Bucket Versioning Disable,,Detects when S3 bucket versioning is disabled. Threat actors use this technique during AWS ransomware incidents prior to deleting S3 objects.,a136ac98-b2bc-4189-a14d-f0d0388e57a7
AWS SAML Provider Deletion Activity,,"Detects the deletion of an AWS SAML provider, potentially indicating malicious intent to disrupt administrative or security team access.
An attacker can remove the SAML provider for the information security team or a team of system administrators, to make it difficult for them to work and investigate at the time of the attack and after it.
",ccd6a6c8-bb4e-4a91-9d2a-07e632819374
AWS SecurityHub Findings Evasion,,Detects the modification of the findings on SecurityHub.,a607e1fe-74bf-4440-a3ec-b059b9103157
AWS Snapshot Backup Exfiltration,,Detects the modification of an EC2 snapshot's permissions to enable access from another account,abae8fec-57bd-4f87-aff6-6e3db989843d
AWS Suspicious SAML Activity,,Identifies when suspicious SAML activity has occurred in AWS. An adversary could gain backdoor access via SAML.,f43f5d2f-3f2a-4cc8-b1af-81fde7dbaf0e
AWS User Login Profile Was Modified,,"Detects activity when someone is changing passwords on behalf of other users.
An attacker with the ""iam:UpdateLoginProfile"" permission on other users can change the password used to login to the AWS console on any user that already has a login profile setup.
",055fb148-60f8-462d-ad16-26926ce050f1
Abusable DLL Potential Sideloading From Suspicious Location,,Detects potential DLL sideloading of DLLs that are known to be abused from suspicious locations,799a5f48-0ac1-4e0f-9152-71d137d48c2a
Abuse of Service Permissions to Hide Services Via Set-Service,,"Detects usage of the ""Set-Service"" powershell cmdlet to configure a new SecurityDescriptor that allows a service to be hidden from other utilities such as ""sc.exe"", ""Get-Service""...etc. (Works only in powershell 7)",514e4c3a-c77d-4cde-a00f-046425e2301e
Abuse of Service Permissions to Hide Services Via Set-Service - PS,,"Detects usage of the ""Set-Service"" powershell cmdlet to configure a new SecurityDescriptor that allows a service to be hidden from other utilities such as ""sc.exe"", ""Get-Service""...etc. (Works only in powershell 7)",953945c5-22fe-4a92-9f8a-a9edc1e522da
Abused Debug Privilege by Arbitrary Parent Processes,,Detection of unusual child processes by different system processes,d522eca2-2973-4391-a3e0-ef0374321dae
Abusing Print Executable,,Attackers can use print.exe for remote file copy,bafac3d6-7de9-4dd9-8874-4a1194b493ed
Access To Crypto Currency Wallets By Uncommon Applications,,"Detects file access requests to crypto currency files by uncommon processes.
Could indicate potential attempt of crypto currency wallet stealing.
",f41b0311-44f9-44f0-816d-dd45e39d4bc8
Access To Potentially Sensitive Sysvol Files By Uncommon Applications,,Detects file access requests to potentially sensitive files hosted on the Windows Sysvol share.,d51694fe-484a-46ac-92d6-969e76d60d10
Access To Windows Credential History File By Uncommon Applications,,"Detects file access requests to the Windows Credential History File by an uncommon application.
This can be a sign of credential stealing. Example case would be usage of mimikatz ""dpapi::credhist"" function
",7a2a22ea-a203-4cd3-9abf-20eb1c5c6cd2
Access To Windows DPAPI Master Keys By Uncommon Applications,,"Detects file access requests to the the Windows Data Protection API Master keys by an uncommon application.
This can be a sign of credential stealing. Example case would be usage of mimikatz ""dpapi::masterkey"" function
",46612ae6-86be-4802-bc07-39b59feb1309
Access of Sudoers File Content,,Detects the execution of a text-based file access or inspection utilities to read the content of /etc/sudoers in order to potentially list all users that have sudo rights.,0f79c4d2-4e1f-4683-9c36-b5469a665e06
Access to Browser Login Data,,"Adversaries may acquire credentials from web browsers by reading files specific to the target browser.
Web browsers commonly save credentials such as website usernames and passwords so that they do not need to be entered manually in the future.
Web browsers typically store the credentials in an encrypted format within a credential store.
",fc028194-969d-4122-8abe-0470d5b8f12f
Account Created And Deleted Within A Close Time Frame,,Detects when an account was created and deleted in a short period of time.,6f583da0-3a90-4566-a4ed-83c09fe18bbf
Account Disabled or Blocked for Sign in Attempts,,Detects when an account is disabled or blocked for sign in but tried to log in,4afac85c-224a-4dd7-b1af-8da40e1c60bd
Account Lockout,,Identifies user account which has been locked because the user tried to sign in too many times with an incorrect user ID or password.,2b7d6fc0-71ac-4cf7-8ed1-b5788ee5257a
Account Tampering - Suspicious Failed Logon Reasons,,This method uses uncommon error codes on failed logons to determine suspicious activity and tampering with accounts that have been disabled or somehow restricted.,9eb99343-d336-4020-a3cd-67f3819e68ee
Activate Suppression of Windows Security Center Notifications,,Detect set Notification_Suppress to 1 to disable the Windows security center notification,0c93308a-3f1b-40a9-b649-57ea1a1c1d63
Active Directory Database Snapshot Via ADExplorer,,"Detects the execution of Sysinternals ADExplorer with the ""-snapshot"" flag in order to save a local copy of the active directory database.",9212f354-7775-4e28-9c9f-8f0a4544e664
Active Directory Kerberos DLL Loaded Via Office Application,,Detects Kerberos DLL being loaded by an Office Product,7417e29e-c2e7-4cf6-a2e8-767228c64837
Active Directory Parsing DLL Loaded Via Office Application,,Detects DSParse DLL being loaded by an Office Product,a2a3b925-7bb0-433b-b508-db9003263cc4
Active Directory Replication from Non Machine Account,,Detects potential abuse of Active Directory Replication Service (ADRS) from a non machine account to request credentials.,17d619c1-e020-4347-957e-1d1207455c93
Active Directory Structure Export Via Csvde.EXE,,"Detects the execution of ""csvde.exe"" in order to export organizational Active Directory structure.",e5d36acd-acb4-4c6f-a13f-9eb203d50099
Active Directory Structure Export Via Ldifde.EXE,,"Detects the execution of ""ldifde.exe"" in order to export organizational Active Directory structure.",4f7a6757-ff79-46db-9687-66501a02d9ec
Active Directory User Backdoors,,Detects scenarios where one can control another users or computers account without having to use their credentials.,300bac00-e041-4ee2-9c36-e262656a6ecc
Activity From Anonymous IP Address,,Identifies that users were active from an IP address that has been identified as an anonymous proxy IP address.,be4d9c86-d702-4030-b52e-c7859110e5e8
Activity Performed by Terminated User,,"Detects when a Microsoft Cloud App Security reported for users whose account were terminated in Azure AD, but still perform activities in other platforms such as AWS or Salesforce.
This is especially relevant for users who use another account to manage resources, since these accounts are often not terminated when a user leaves the company.
",2e669ed8-742e-4fe5-b3c4-5a59b486c2ee
Activity from Anonymous IP Addresses,,Detects when a Microsoft Cloud App Security reported when users were active from an IP address that has been identified as an anonymous proxy IP address.,d8b0a4fe-07a8-41be-bd39-b14afa025d95
Activity from Infrequent Country,,Detects when a Microsoft Cloud App Security reported when an activity occurs from a location that wasn't recently or never visited by any user in the organization.,0f2468a2-5055-4212-a368-7321198ee706
Activity from Suspicious IP Addresses,,"Detects when a Microsoft Cloud App Security reported users were active from an IP address identified as risky by Microsoft Threat Intelligence.
These IP addresses are involved in malicious activities, such as Botnet C&C, and may indicate compromised account.
",a3501e8e-af9e-43c6-8cd6-9360bdaae498
Add Debugger Entry To AeDebug For Persistence,,"Detects when an attacker adds a new ""Debugger"" value to the ""AeDebug"" key in order to achieve persistence which will get invoked when an application crashes",092af964-4233-4373-b4ba-d86ea2890288
Add Debugger Entry To Hangs Key For Persistence,,"Detects when an attacker adds a new ""Debugger"" value to the ""Hangs"" key in order to achieve persistence which will get invoked when an application crashes",833ef470-fa01-4631-a79b-6f291c9ac498
Add DisallowRun Execution to Registry,,Detect set DisallowRun to 1 to prevent user running specific computer program,275641a5-a492-45e2-a817-7c81e9d9d3e9
Add Insecure Download Source To Winget,,"Detects usage of winget to add a new insecure (http) download source.
Winget will not allow the addition of insecure sources, hence this could indicate potential suspicious activity (or typos)
",81a0ecb5-0a41-4ba1-b2ba-c944eb92bfa2
Add New Download Source To Winget,,Detects usage of winget to add new additional download sources,05ebafc8-7aa2-4bcd-a269-2aec93f9e842
Add Port Monitor Persistence in Registry,,"Adversaries may use port monitors to run an attacker supplied DLL during system boot for persistence or privilege escalation.
A port monitor can be set through the AddMonitor API call to set a DLL to be loaded at startup.
",944e8941-f6f6-4ee8-ac05-1c224e923c0e
Add Potential Suspicious New Download Source To Winget,,Detects usage of winget to add new potentially suspicious download sources,c15a46a0-07d4-4c87-b4b6-89207835a83b
Add SafeBoot Keys Via Reg Utility,,"Detects execution of ""reg.exe"" commands with the ""add"" or ""copy"" flags on safe boot registry keys. Often used by attacker to allow the ransomware to work in safe mode as some security products do not",d7662ff6-9e97-4596-a61d-9839e32dee8d
Add Windows Capability Via PowerShell Cmdlet,,"Detects usage of the ""Add-WindowsCapability"" cmdlet to add Windows capabilities. Notable capabilities could be ""OpenSSH"" and others.",b36d01a3-ddaf-4804-be18-18a6247adfcd
Add Windows Capability Via PowerShell Script,,"Detects usage of the ""Add-WindowsCapability"" cmdlet to add Windows capabilities. Notable capabilities could be ""OpenSSH"" and others.",155c7fd5-47b4-49b2-bbeb-eb4fab335429
Added Credentials to Existing Application,,Detects when a new credential is added to an existing application. Any additional credentials added outside of expected processes could be a malicious actor using those credentials.,cbb67ecc-fb70-4467-9350-c910bdf7c628
Added Owner To Application,,Detects when a new owner is added to an application. This gives that account privileges to make modifications and configuration changes to the application.,74298991-9fc4-460e-a92e-511aa60baec1
AddinUtil.EXE Execution From Uncommon Directory,,Detects execution of the Add-In deployment cache updating utility (AddInutil.exe) from a non-standard directory.,6120ac2a-a34b-42c0-a9bd-1fb9f459f348
Addition of SID History to Active Directory Object,,An attacker can use the SID history attribute to gain additional privileges.,2632954e-db1c-49cb-9936-67d1ef1d17d2
Advanced IP Scanner - File Event,,Detects the use of Advanced IP Scanner. Seems to be a popular tool for ransomware groups.,fed85bf9-e075-4280-9159-fbe8a023d6fa
Adwind RAT / JRAT,,Detects javaw.exe in AppData folder as used by Adwind / JRAT,1fac1481-2dbc-48b2-9096-753c49b4ec71
Adwind RAT / JRAT File Artifact,,Detects javaw.exe in AppData folder as used by Adwind / JRAT,0bcfabcb-7929-47f4-93d6-b33fb67d34d1
AgentExecutor PowerShell Execution,,"Detects execution of the AgentExecutor.exe binary. Which can be abused as a LOLBIN to execute powershell scripts with the ExecutionPolicy ""Bypass"" or any binary named ""powershell.exe"" located in the path provided by 6th positional argument",7efd2c8d-8b18-45b7-947d-adfe9ed04f61
All Backups Deleted Via Wbadmin.EXE,,"Detects the deletion of all backups or system state backups via ""wbadmin.exe"".
This technique is used by numerous ransomware families and actors.
This may only be successful on server platforms that have Windows Backup enabled.
",639c9081-f482-47d3-a0bd-ddee3d4ecd76
All Rules Have Been Deleted From The Windows Firewall Configuration,,Detects when a all the rules have been deleted from the Windows Defender Firewall configuration,79609c82-a488-426e-abcf-9f341a39365d
Allow RDP Remote Assistance Feature,,Detect enable rdp feature to allow specific user to rdp connect on the targeted machine,37b437cf-3fc5-4c8e-9c94-1d7c9aff842b
Allow Service Access Using Security Descriptor Tampering Via Sc.EXE,,Detects suspicious DACL modifications to allow access to a service from a suspicious trustee. This can be used to override access restrictions set by previous ACLs.,6c8fbee5-dee8-49bc-851d-c3142d02aa47
Alternate PowerShell Hosts - PowerShell Module,,Detects alternate PowerShell hosts potentially bypassing detections looking for powershell.exe,64e8e417-c19a-475a-8d19-98ea705394cc
Alternate PowerShell Hosts Pipe,,Detects alternate PowerShell hosts potentially bypassing detections looking for powershell.exe,58cb02d5-78ce-4692-b3e1-dce850aae41a
Always Install Elevated MSI Spawned Cmd And Powershell,,"Detects Windows Installer service (msiexec.exe) spawning ""cmd"" or ""powershell""",1e53dd56-8d83-4eb4-a43e-b790a05510aa
Always Install Elevated Windows Installer,,Detects Windows Installer service (msiexec.exe) trying to install MSI packages with SYSTEM privilege,cd951fdc-4b2f-47f5-ba99-a33bf61e3770
Amsi.DLL Loaded Via LOLBIN Process,,"Detects loading of ""Amsi.dll"" by a living of the land process. This could be an indication of a ""PowerShell without PowerShell"" attack",6ec86d9e-912e-4726-91a2-209359b999b9
Anomalous Token,,Indicates that there are abnormal characteristics in the token such as an unusual token lifetime or a token that is played from an unfamiliar location.,6555754e-5e7f-4a67-ad1c-4041c413a007
Anomalous User Activity,,Indicates that there are anomalous patterns of behavior like suspicious changes to the directory.,258b6593-215d-4a26-a141-c8e31c1299a6
Anonymous IP Address,,"Indicates sign-ins from an anonymous IP address, for example, using an anonymous browser or VPN.",53acd925-2003-440d-a1f3-71a5253fe237
Antivirus Exploitation Framework Detection,,"Detects a highly relevant Antivirus alert that reports an exploitation framework.
This event must not be ignored just because the AV has blocked the malware but investigate, how it came there in the first place.
",238527ad-3c2c-4e4f-a1f6-92fd63adb864
Antivirus Filter Driver Disallowed On Dev Drive - Registry,,"Detects activity that indicates a user disabling the ability for Antivirus mini filter to inspect a ""Dev Drive"".
",31e124fb-5dc4-42a0-83b3-44a69c77b271
Antivirus Hacktool Detection,,"Detects a highly relevant Antivirus alert that reports a hack tool or other attack tool.
This event must not be ignored just because the AV has blocked the malware but investigate, how it came there in the first place.
",fa0c05b6-8ad3-468d-8231-c1cbccb64fba
Antivirus Password Dumper Detection,,"Detects a highly relevant Antivirus alert that reports a password dumper.
This event must not be ignored just because the AV has blocked the malware but investigate, how it came there in the first place.
",78cc2dd2-7d20-4d32-93ff-057084c38b93
Antivirus PrinterNightmare CVE-2021-34527 Exploit Detection,,"Detects the suspicious file that is created from PoC code against Windows Print Spooler Remote Code Execution Vulnerability CVE-2021-34527 (PrinterNightmare), CVE-2021-1675 .",6fe1719e-ecdf-4caf-bffe-4f501cb0a561
Antivirus Ransomware Detection,,"Detects a highly relevant Antivirus alert that reports ransomware.
This event must not be ignored just because the AV has blocked the malware but investigate, how it came there in the first place.
",4c6ca276-d4d0-4a8c-9e4c-d69832f8671f
Antivirus Relevant File Paths Alerts,,"Detects an Antivirus alert in a highly relevant file path or with a relevant file name.
This event must not be ignored just because the AV has blocked the malware but investigate, how it came there in the first place.
",c9a88268-0047-4824-ba6e-4d81ce0b907c
Antivirus Web Shell Detection,,"Detects a highly relevant Antivirus alert that reports a web shell.
It's highly recommended to tune this rule to the specific strings used by your anti virus solution by downloading a big WebShell repository from e.g. github and checking the matches.
This event must not be ignored just because the AV has blocked the malware but investigate, how it came there in the first place.
",fdf135a2-9241-4f96-a114-bb404948f736
Anydesk Remote Access Software Service Installation,,Detects the installation of the anydesk software service. Which could be an indication of anydesk abuse if you the software isn't already used.,530a6faa-ff3d-4022-b315-50828e77eef5
Anydesk Temporary Artefact,,"An adversary may use legitimate desktop support and remote access software, such as Team Viewer, Go2Assist, LogMein, AmmyyAdmin, etc, to establish an interactive command and control channel to target systems within networks.
These services are commonly used as legitimate technical support software, and may be allowed by application control within a target environment.
Remote access tools like VNC, Ammyy, and Teamviewer are used frequently when compared with other legitimate software commonly used by adversaries. (Citation: Symantec Living off the Land)
",0b9ad457-2554-44c1-82c2-d56a99c42377
Apache Segmentation Fault,,Detects a segmentation fault error message caused by a crashing apache worker process,1da8ce0b-855d-4004-8860-7d64d42063b1
Apache Spark Shell Command Injection - ProcessCreation,,Detects attempts to exploit an apache spark server via CVE-2014-6287 from a commandline perspective,c8a5f584-cdc8-42cc-8cce-0398e4265de3
Apache Spark Shell Command Injection - Weblogs,,Detects attempts to exploit an apache spark server via CVE-2014-6287 from a weblogs perspective,1a9a04fd-02d1-465c-abad-d733fd409f9c
Apache Threading Error,,Detects an issue in apache logs that reports threading related errors,e9a2b582-3f6a-48ac-b4a1-6849cdc50b3c
App Assigned To Azure RBAC/Microsoft Entra Role,,"Detects when an app is assigned Azure AD roles, such as global administrator, or Azure RBAC roles, such as subscription owner.",b04934b2-0a68-4845-8a19-bdfed3a68a7a
App Granted Microsoft Permissions,,"Detects when an application is granted delegated or app role permissions for Microsoft Graph, Exchange, Sharepoint, or Azure AD",c1d147ae-a951-48e5-8b41-dcd0170c7213
App Granted Privileged Delegated Or App Permissions,,Detects when administrator grants either application permissions (app roles) or highly privileged delegated permissions,5aecf3d5-f8a0-48e7-99be-3a759df7358f
AppX Package Installation Attempts Via AppInstaller.EXE,,"Detects DNS queries made by ""AppInstaller.EXE"". The AppInstaller is the default handler for the ""ms-appinstaller"" URI. It attempts to load/install a package from the referenced URL
",7cff77e1-9663-46a3-8260-17f2e1aa9d0a
Application AppID Uri Configuration Changes,,Detects when a configuration change is made to an applications AppID URI.,1b45b0d1-773f-4f23-aedc-814b759563b1
Application Removed Via Wmic.EXE,,"Detects the removal or uninstallation of an application via ""Wmic.EXE"".",b53317a0-8acf-4fd1-8de8-a5401e776b96
Application Terminated Via Wmic.EXE,,"Detects calls to the ""terminate"" function via wmic in order to kill an application",49d9671b-0a0a-4c09-8280-d215bfd30662
Application URI Configuration Changes,,"Detects when a configuration change is made to an applications URI.
URIs for domain names that no longer exist (dangling URIs), not using HTTPS, wildcards at the end of the domain, URIs that are no unique to that app, or URIs that point to domains you do not control should be investigated.
",0055ad1f-be85-4798-83cf-a6da17c993b3
Application Using Device Code Authentication Flow,,"Device code flow is an OAuth 2.0 protocol flow specifically for input constrained devices and is not used in all environments.
If this type of flow is seen in the environment and not being used in an input constrained device scenario, further investigation is warranted.
This can be a misconfigured application or potentially something malicious.
",248649b7-d64f-46f0-9fb2-a52774166fb5
Applications That Are Using ROPC Authentication Flow,,"Resource owner password credentials (ROPC) should be avoided if at all possible as this requires the user to expose their current password credentials to the application directly.
The application then uses those credentials to authenticate the user against the identity provider.
",55695bc0-c8cf-461f-a379-2535f563c854
Arbitrary Binary Execution Using GUP Utility,,Detects execution of the Notepad++ updater (gup) to launch other commands or executables,d65aee4d-2292-4cea-b832-83accd6cfa43
Arbitrary DLL or Csproj Code Execution Via Dotnet.EXE,,"Detects execution of arbitrary DLLs or unsigned code via a "".csproj"" files via Dotnet.EXE.",d80d5c81-04ba-45b4-84e4-92eba40e0ad3
Arbitrary File Download Via ConfigSecurityPolicy.EXE,,"Detects the execution of ""ConfigSecurityPolicy.EXE"", a binary part of Windows Defender used to manage settings in Windows Defender.
Users can configure different pilot collections for each of the co-management workloads.
It can be abused by attackers in order to upload or download files.
",1f0f6176-6482-4027-b151-00071af39d7e
Arbitrary File Download Via GfxDownloadWrapper.EXE,,Detects execution of GfxDownloadWrapper.exe with a URL as an argument to download file.,eee00933-a761-4cd0-be70-c42fe91731e7
Arbitrary File Download Via IMEWDBLD.EXE,,"Detects usage of ""IMEWDBLD.exe"" to download arbitrary files",863218bd-c7d0-4c52-80cd-0a96c09f54af
Arbitrary File Download Via MSEDGE_PROXY.EXE,,"Detects usage of ""msedge_proxy.exe"" to download arbitrary files",e84d89c4-f544-41ca-a6af-4b92fd38b023
Arbitrary File Download Via MSOHTMED.EXE,,"Detects usage of ""MSOHTMED"" to download arbitrary files",459f2f98-397b-4a4a-9f47-6a5ec2f1c69d
Arbitrary File Download Via MSPUB.EXE,,"Detects usage of ""MSPUB"" (Microsoft Publisher) to download arbitrary files",3b3c7f55-f771-4dd6-8a6e-08d057a17caf
Arbitrary File Download Via PresentationHost.EXE,,"Detects usage of ""PresentationHost"" which is a utility that runs "".xbap"" (Browser Applications) files to download arbitrary files",b124ddf4-778d-418e-907f-6dd3fc0d31cd
Arbitrary File Download Via Squirrel.EXE,,"Detects the usage of the ""Squirrel.exe"" to download arbitrary files. This binary is part of multiple Electron based software installations (Slack, Teams, Discord, etc.)
",1e75c1cc-c5d4-42aa-ac3d-91b0b68b3b4c
Arbitrary MSI Download Via Devinit.EXE,,"Detects a certain command line flag combination used by ""devinit.exe"", which can be abused as a LOLBIN to download arbitrary MSI packages on a Windows system",90d50722-0483-4065-8e35-57efaadd354d
Arbitrary Shell Command Execution Via Settingcontent-Ms,,"The .SettingContent-ms file type was introduced in Windows 10 and allows a user to create ""shortcuts"" to various Windows 10 setting pages. These files are simply XML and contain paths to various Windows 10 settings binaries.",24de4f3b-804c-4165-b442-5a06a2302c7e
Arcadyan Router Exploitations,,Detects exploitation of vulnerabilities in Arcadyan routers as reported in CVE-2021-20090 and CVE-2021-20091.,f0500377-bc70-425d-ac8c-e956cd906871
Aruba Network Service Potential DLL Sideloading,,"Detects potential DLL sideloading activity via the Aruba Networks Virtual Intranet Access ""arubanetsvc.exe"" process using DLL Search Order Hijacking",90ae0469-0cee-4509-b67f-e5efcef040f7
AspNetCompiler Execution,,"Detects execution of ""aspnet_compiler.exe"" which can be abused to compile and execute C# code.",a01b8329-5953-4f73-ae2d-aa01e1f35f00
